"Species","Year","Region","Biomass"
"sockeye",2001,"Kod",13505
"sockeye",2002,"Kod",10203
"sockeye",2003,"Kod",20659
"sockeye",2004,"Kod",15995
"sockeye",2005,"Kod",12978
"sockeye",2006,"Kod",6649
"sockeye",2007,"Kod",8746
"sockeye",2008,"Kod",7224
"sockeye",2009,"Kod",7681
"sockeye",2010,"Kod",6759
"sockeye",2011,"Kod",9154
"sockeye",2012,"Kod",9540
"sockeye",2013,"Kod",10661
"sockeye",2014,"Kod",12528
"sockeye",2015,"Kod",11131
"sockeye",1952,"CI",6002
"sockeye",1953,"CI",5941
"sockeye",1954,"CI",5198
"sockeye",1955,"CI",4624
"sockeye",1956,"CI",5477
"sockeye",1957,"CI",3308
"sockeye",1958,"CI",2669
"sockeye",1959,"CI",3191
"sockeye",1960,"CI",4145
"sockeye",1961,"CI",5400
"sockeye",1962,"CI",5085
"sockeye",1963,"CI",4391
"sockeye",1964,"CI",4475
"sockeye",1965,"CI",6152
"sockeye",1966,"CI",7947
"sockeye",1967,"CI",6367
"sockeye",1968,"CI",5538
"sockeye",1969,"CI",3844
"sockeye",1970,"CI",3985
"sockeye",1971,"CI",3842
"sockeye",1972,"CI",4714
"sockeye",1973,"CI",4645
"sockeye",1974,"CI",3193
"sockeye",1975,"CI",3947
"sockeye",1976,"CI",8219
"sockeye",1977,"CI",11436
"sockeye",1978,"CI",10909
"sockeye",1979,"CI",4972
"sockeye",1980,"CI",6862
"sockeye",1981,"CI",7809
"sockeye",1982,"CI",13618
"sockeye",1983,"CI",17798
"sockeye",1984,"CI",9360
"sockeye",1985,"CI",14346
"sockeye",1986,"CI",15933
"sockeye",1987,"CI",32698
"sockeye",1988,"CI",23191
"sockeye",1989,"CI",18236
"sockeye",1990,"CI",12554
"sockeye",1991,"CI",8902
"sockeye",1992,"CI",27908
"sockeye",1993,"CI",16748
"sockeye",1994,"CI",13047
"sockeye",1995,"CI",10796
"sockeye",1996,"CI",15117
"sockeye",1997,"CI",16252
"sockeye",1998,"CI",6489
"sockeye",1999,"CI",9951
"sockeye",2000,"CI",9869
"sockeye",2001,"CI",11891
"sockeye",2002,"CI",15079
"sockeye",2003,"CI",20920
"sockeye",2004,"CI",21390
"sockeye",2005,"CI",23402
"sockeye",2006,"CI",13861
"sockeye",2007,"CI",16503
"sockeye",2008,"CI",13031
"sockeye",2009,"CI",12950
"sockeye",2010,"CI",14671
"sockeye",2011,"CI",25566
"sockeye",2012,"CI",18536
"sockeye",2013,"CI",16776
"sockeye",2014,"CI",15772
"sockeye",2015,"CI",15379
"sockeye",1952,"PWS",5115
"sockeye",1953,"PWS",3113
"sockeye",1954,"PWS",4774
"sockeye",1955,"PWS",3336
"sockeye",1956,"PWS",3529
"sockeye",1957,"PWS",3169
"sockeye",1958,"PWS",2066
"sockeye",1959,"PWS",1994
"sockeye",1960,"PWS",2295
"sockeye",1961,"PWS",3396
"sockeye",1962,"PWS",3747
"sockeye",1963,"PWS",2506
"sockeye",1964,"PWS",3663
"sockeye",1965,"PWS",4355
"sockeye",1966,"PWS",5208
"sockeye",1967,"PWS",3149
"sockeye",1968,"PWS",3876
"sockeye",1969,"PWS",4950
"sockeye",1970,"PWS",5716
"sockeye",1971,"PWS",4148
"sockeye",1972,"PWS",4911
"sockeye",1973,"PWS",3495
"sockeye",1974,"PWS",4114
"sockeye",1975,"PWS",3237
"sockeye",1976,"PWS",5377
"sockeye",1977,"PWS",5823
"sockeye",1978,"PWS",3469
"sockeye",1979,"PWS",2545
"sockeye",1980,"PWS",1594
"sockeye",1981,"PWS",4226
"sockeye",1982,"PWS",10449
"sockeye",1983,"PWS",4463
"sockeye",1984,"PWS",5844
"sockeye",1985,"PWS",5942
"sockeye",1986,"PWS",5592
"sockeye",1987,"PWS",7327
"sockeye",1988,"PWS",2272
"sockeye",1989,"PWS",4008
"sockeye",1990,"PWS",2134
"sockeye",1991,"PWS",6279
"sockeye",1992,"PWS",7583
"sockeye",1993,"PWS",7513
"sockeye",1994,"PWS",6169
"sockeye",1995,"PWS",5839
"sockeye",1996,"PWS",11427
"sockeye",1997,"PWS",14506
"sockeye",1998,"PWS",6686
"sockeye",1999,"PWS",8744
"sockeye",2000,"PWS",6890
"sockeye",2001,"PWS",9728
"sockeye",2002,"PWS",9111
"sockeye",2003,"PWS",10481
"sockeye",2004,"PWS",7362
"sockeye",2005,"PWS",8060
"sockeye",2006,"PWS",7237
"sockeye",2007,"PWS",8510
"sockeye",2008,"PWS",3327
"sockeye",2009,"PWS",4974
"sockeye",2010,"PWS",7987
"sockeye",2011,"PWS",12244
"sockeye",2012,"PWS",13076
"sockeye",2013,"PWS",9220
"sockeye",2014,"PWS",11053
"sockeye",2015,"PWS",10385
"sockeye",1952,"SEAK",3311
"sockeye",1953,"SEAK",4958
"sockeye",1954,"SEAK",4395
"sockeye",1955,"SEAK",2692
"sockeye",1956,"SEAK",3295
"sockeye",1957,"SEAK",3858
"sockeye",1958,"SEAK",3632
"sockeye",1959,"SEAK",3208
"sockeye",1960,"SEAK",1960
"sockeye",1961,"SEAK",2978
"sockeye",1962,"SEAK",2862
"sockeye",1963,"SEAK",2259
"sockeye",1964,"SEAK",3362
"sockeye",1965,"SEAK",4022
"sockeye",1966,"SEAK",4344
"sockeye",1967,"SEAK",3718
"sockeye",1968,"SEAK",3535
"sockeye",1969,"SEAK",2856
"sockeye",1970,"SEAK",2592
"sockeye",1971,"SEAK",2416
"sockeye",1972,"SEAK",2037
"sockeye",1973,"SEAK",2842
"sockeye",1974,"SEAK",2949
"sockeye",1975,"SEAK",2375
"sockeye",1976,"SEAK",4898
"sockeye",1977,"SEAK",6415
"sockeye",1978,"SEAK",4444
"sockeye",1979,"SEAK",5577
"sockeye",1980,"SEAK",4349
"sockeye",1981,"SEAK",4162
"sockeye",1982,"SEAK",5953
"sockeye",1983,"SEAK",5015
"sockeye",1984,"SEAK",4581
"sockeye",1985,"SEAK",5983
"sockeye",1986,"SEAK",4795
"sockeye",1987,"SEAK",5626
"sockeye",1988,"SEAK",3917
"sockeye",1989,"SEAK",6005
"sockeye",1990,"SEAK",6013
"sockeye",1991,"SEAK",6558
"sockeye",1992,"SEAK",6874
"sockeye",1993,"SEAK",9845
"sockeye",1994,"SEAK",6495
"sockeye",1995,"SEAK",5067
"sockeye",1996,"SEAK",10825
"sockeye",1997,"SEAK",7714
"sockeye",1998,"SEAK",4748
"sockeye",1999,"SEAK",5067
"sockeye",2000,"SEAK",4606
"sockeye",2001,"SEAK",6600
"sockeye",2002,"SEAK",4763
"sockeye",2003,"SEAK",5791
"sockeye",2004,"SEAK",6721
"sockeye",2005,"SEAK",5104
"sockeye",2006,"SEAK",5377
"sockeye",2007,"SEAK",6161
"sockeye",2008,"SEAK",2851
"sockeye",2009,"SEAK",3779
"sockeye",2010,"SEAK",3206
"sockeye",2011,"SEAK",4599
"sockeye",2012,"SEAK",4287
"sockeye",2013,"SEAK",4185
"sockeye",2014,"SEAK",5520
"sockeye",2015,"SEAK",4655
"sockeye",1952,"NBC",5577
"sockeye",1953,"NBC",12428
"sockeye",1954,"NBC",6233
"sockeye",1955,"NBC",5605
"sockeye",1956,"NBC",8749
"sockeye",1957,"NBC",4764
"sockeye",1958,"NBC",8071
"sockeye",1959,"NBC",6844
"sockeye",1960,"NBC",5254
"sockeye",1961,"NBC",11435
"sockeye",1962,"NBC",12625
"sockeye",1963,"NBC",15516
"sockeye",1964,"NBC",17571
"sockeye",1965,"NBC",6751
"sockeye",1966,"NBC",9361
"sockeye",1967,"NBC",12066
"sockeye",1968,"NBC",23665
"sockeye",1969,"NBC",8091
"sockeye",1970,"NBC",6669
"sockeye",1971,"NBC",10958
"sockeye",1972,"NBC",8687
"sockeye",1973,"NBC",25101
"sockeye",1974,"NBC",15971
"sockeye",1975,"NBC",9193
"sockeye",1976,"NBC",9172
"sockeye",1977,"NBC",12179
"sockeye",1978,"NBC",10597
"sockeye",1979,"NBC",10669
"sockeye",1980,"NBC",7454
"sockeye",1981,"NBC",15429
"sockeye",1982,"NBC",22117
"sockeye",1983,"NBC",10976
"sockeye",1984,"NBC",9470
"sockeye",1985,"NBC",22318
"sockeye",1986,"NBC",12904
"sockeye",1987,"NBC",14361
"sockeye",1988,"NBC",15796
"sockeye",1989,"NBC",9677
"sockeye",1990,"NBC",10602
"sockeye",1991,"NBC",14837
